beta,config_idx,mu_W33,sigma2_W33,sample_count
2.0,0,-0.0087638232,0.25212130696,5184
2.0,1,-0.019251732367,0.252667347527,5184
2.0,2,0.001621580908,0.248610332335,5184
2.0,3,-0.003138527951,0.248641217345,5184
2.0,4,0.010208025212,0.254244224027,5184
2.0,5,0.002485945014,0.246952670164,5184
2.0,6,0.007067523485,0.251101803925,5184
2.0,7,-0.00291664366,0.246441794987,5184
2.0,8,0.005956272676,0.255505232871,5184
2.0,9,0.022521518253,0.244675580201,5184
2.0,10,0.009343758806,0.248384673386,5184
2.0,11,-0.002738089368,0.249252993118,5184
2.0,12,0.004771119662,0.250863968194,5184
2.0,13,0.011050588583,0.247127826046,5184
2.0,14,0.018234040432,0.254701649616,5184
2.0,15,0.001718388998,0.252320404094,5184
2.0,16,-0.00148244597,0.245351084419,5184
2.0,17,-0.007937573228,0.25494332856,5184
2.0,18,-0.004114724055,0.251701550664,5184
2.0,19,0.004407331197,0.248527046541,5184
2.0,20,0.010149246543,0.264922123949,5184
2.0,21,0.007101932834,0.248437678329,5184
2.0,22,0.008708185875,0.252566908415,5184
2.0,23,0.004118115444,0.243496539434,5184
2.0,24,-0.004454337781,0.255382153748,5184
2.0,25,0.009307874318,0.250901034456,5184
2.0,26,-0.000105083296,0.248855637934,5184
2.0,27,0.001630951149,0.256803395485,5184
2.0,28,0.008309775875,0.246510293054,5184
2.0,29,0.001069359064,0.246492802231,5184
2.0,30,0.008839167499,0.248109035563,5184
2.0,31,-0.003734844121,0.256961373662,5184
2.4,0,-0.001404008152,0.24889546042,5184
2.4,1,0.004999397766,0.253261951985,5184
2.4,2,-0.000043867489,0.252280492712,5184
2.4,3,0.006467633032,0.246738484391,5184
2.4,4,0.016563597991,0.252265824779,5184
2.4,5,-0.003195306783,0.253209604601,5184
2.4,6,0.002555407098,0.252526390316,5184
2.4,7,0.010911955722,0.248670882479,5184
2.4,8,0.000094841439,0.251698585492,5184
2.4,9,0.000621762024,0.247704945929,5184
2.4,10,0.00984636346,0.252543265947,5184
2.4,11,0.008124383385,0.252055002614,5184
2.4,12,0.016918367211,0.252091318751,5184
2.4,13,0.002082061358,0.249392574236,5184
2.4,14,0.006394298201,0.255060605581,5184
2.4,15,-0.011730965348,0.252384971624,5184
2.4,16,0.012265854332,0.247281819547,5184
2.4,17,0.003410628449,0.248501869478,5184
2.4,18,-0.001479096847,0.248804316182,5184
2.4,19,0.007000344124,0.248292318987,5184
2.4,20,-0.001718802463,0.250054156187,5184
2.4,21,0.01489677729,0.251814886323,5184
2.4,22,0.006312344234,0.255726318255,5184
2.4,23,-0.000043871431,0.249128368646,5184
2.4,24,0.001347238692,0.247107206108,5184
2.4,25,0.006241446066,0.25444868963,5184
2.4,26,0.013966269159,0.251285919311,5184
2.4,27,0.007418085355,0.246624331908,5184
2.4,28,0.005505347394,0.251255720041,5184
2.4,29,0.003743805587,0.254193586999,5184
2.4,30,0.004241656558,0.24663339384,5184
2.4,31,0.004909931865,0.252974081444,5184
2.8,0,-0.000258018128,0.25130848164,5184
2.8,1,0.022024531529,0.2514644663,5184
2.8,2,0.01445988192,0.249281841513,5184
2.8,3,0.020657332966,0.247184486461,5184
2.8,4,0.020437653167,0.251143793583,5184
2.8,5,0.020484059684,0.252330658982,5184
2.8,6,0.021664357207,0.2536311563,5184
2.8,7,0.016601226179,0.244140958059,5184
2.8,8,0.026190244144,0.243789780348,5184
2.8,9,0.024544991765,0.251205744688,5184
2.8,10,0.005251596326,0.255729746176,5184
2.8,11,0.00877155731,0.248792270622,5184
2.8,12,0.006924445622,0.249006638859,5184
2.8,13,0.008625678644,0.249110617896,5184
2.8,14,0.019730394978,0.248824361101,5184
2.8,15,0.012219342171,0.250110088798,5184
2.8,16,0.008617108634,0.248747912866,5184
2.8,17,0.009206606275,0.248275540723,5184
2.8,18,0.01494606181,0.255887949391,5184
2.8,19,0.018098956841,0.245295702113,5184
2.8,20,0.025264307365,0.256092224801,5184
2.8,21,0.010041692085,0.249045729223,5184
2.8,22,0.022660624072,0.243538402235,5184
2.8,23,-0.0038188722,0.252145807907,5184
2.8,24,0.006475989709,0.243824931067,5184
2.8,25,0.014940719269,0.252094768225,5184
2.8,26,0.026956200448,0.248872900852,5184
2.8,27,0.014877805601,0.24694351609,5184
2.8,28,0.021138575612,0.254215294748,5184
2.8,29,0.023757807347,0.246022088153,5184
2.8,30,0.020863249624,0.24588283374,5184
2.8,31,0.015643854045,0.247657857292,5184
