sample_index,time,energy,action,bin_key,signature_norm
0,20.0,0.09765231812412434,no_op,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.31249370893527495
1,20.1,0.09765231704650526,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124937072110497
2,20.2,0.09765231597029515,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.31249370548907884
3,20.3,0.0976523148954663,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.31249370376931807
4,20.400000000000002,0.09765231382199172,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124937020517241
5,20.5,0.0976523127498447,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124937003362543
6,20.6,0.09765231167899885,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124936986228664
7,20.7,0.09765231060942825,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124936969115189
8,20.8,0.09765230954110724,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124936952021708
9,20.900000000000002,0.09765230847401073,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.31249369349478195
10,21.0,0.09765230740811398,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.31249369178931274
11,21.1,0.09765230634339236,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.31249369008572375
12,21.2,0.09765230527982174,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124936883839764
13,21.3,0.09765230421737846,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124936866840328
14,21.400000000000002,0.09765230315603897,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124936849858553
15,21.5,0.09765230209578028,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.31249368328940713
16,21.6,0.09765230103657979,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124936815946521
17,21.7,0.09765229997841514,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124936799015544
18,21.8,0.09765229892126427,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.3124936782100788
19,21.900000000000002,0.09765229786510542,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.31249367652019044
20,22.0,0.0976522968099173,no_op,-1;0;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,0.31249367483185525
