policyLabel,cellId,axis,severity,kind,n,successCount,successRate,meanTerminalAlignment,meanRegimeRetention,meanPathEfficiency,meanSteps,meanSaturationCount,nominalSuccessRate,nominalMeanTerminalAlignment,relativeDegradationSuccess,relativeDegradationTerminalAlignment,lowNominalConfidence,failureSuccess,failureFalseBasinCapture,failureDecoyCapture,failureOOBSaturation,failureWandering,failureOscillation,failureUnclassified
Phase6-noop_delta-lambda-0.95-scale-1.0,nominal,nominal,nominal,nominal,64,30,0.46875,0.95757861,0.30213663,0.94641806,148.09375,55.6875,,,,,,30,0,0,0,0,34,0
Phase6-noop_delta-lambda-0.95-scale-1.0,geometric-light,geometric,light,probed,64,29,0.453125,0.95464996,0.27981865,0.94785023,149.96875,56.75,0.46875,0.95757861,0.03333333,0.0030584,false,29,0,0,0,0,35,0
Phase6-noop_delta-lambda-0.95-scale-1.0,geometric-medium,geometric,medium,probed,64,29,0.453125,0.93536775,0.28904246,0.95936789,145.78125,49.703125,0.46875,0.95757861,0.03333333,0.02319482,false,29,0,0,0,0,33,2
Phase6-noop_delta-lambda-0.95-scale-1.0,geometric-heavy,geometric,heavy,probed,64,28,0.4375,0.96797097,0.3505301,0.95671214,153.578125,54.25,0.46875,0.95757861,0.06666667,-0.01085274,false,28,0,0,0,0,36,0
Phase6-noop_delta-lambda-0.95-scale-1.0,decoy-light,decoy,light,probed,64,12,0.1875,0.89906145,0.19523212,0.9363821,179.546875,54.140625,0.46875,0.95757861,0.6,0.06110952,false,12,0,0,0,0,52,0
Phase6-noop_delta-lambda-0.95-scale-1.0,decoy-medium,decoy,medium,probed,64,11,0.171875,0.7688157,0.10634296,0.92110013,181.234375,47.375,0.46875,0.95757861,0.63333333,0.19712524,false,11,0,0,0,0,43,10
Phase6-noop_delta-lambda-0.95-scale-1.0,decoy-heavy,decoy,heavy,probed,64,2,0.03125,0.51120433,0.01621795,0.91164407,195.375,41.609375,0.46875,0.95757861,0.93333333,0.46614897,false,2,0,0,0,3,23,36
Phase6-noop_delta-lambda-0.95-scale-1.0,sensor-noise-light,sensor-noise,light,probed,64,27,0.421875,0.95560183,0.29235039,0.58365069,161.046875,74.125,0.46875,0.95757861,0.1,0.00206436,false,27,0,0,0,0,37,0
Phase6-noop_delta-lambda-0.95-scale-1.0,sensor-noise-medium,sensor-noise,medium,probed,64,7,0.109375,0.52050548,0.07626802,0.24173507,196.0625,189.6875,0.46875,0.95757861,0.76666667,0.45643577,false,7,0,0,0,2,22,33
Phase6-noop_delta-lambda-0.95-scale-1.0,sensor-noise-heavy,sensor-noise,heavy,probed,64,1,0.015625,0.23087942,0.01169671,0.09625445,199.3125,198.546875,0.46875,0.95757861,0.96666667,0.75889246,false,1,2,0,0,21,10,30
Phase6-noop_delta-lambda-0.95-scale-1.0,sensor-delay-light,sensor-delay,light,probed,64,30,0.46875,0.95764134,0.299169,0.94404206,147.8125,55.84375,0.46875,0.95757861,0,-0.0000655,false,30,0,0,0,0,34,0
Phase6-noop_delta-lambda-0.95-scale-1.0,sensor-delay-medium,sensor-delay,medium,probed,64,30,0.46875,0.95774309,0.29309093,0.93654467,147.328125,56.75,0.46875,0.95757861,0,-0.00017176,false,30,0,0,0,0,34,0
Phase6-noop_delta-lambda-0.95-scale-1.0,sensor-delay-heavy,sensor-delay,heavy,probed,64,30,0.46875,0.95763448,0.2896138,0.91375254,147.3125,57.53125,0.46875,0.95757861,0,-0.00005834,false,30,0,0,0,0,34,0
