policyLabel,cellId,axis,severity,kind,n,successCount,successRate,meanTerminalAlignment,meanRegimeRetention,meanPathEfficiency,meanSteps,meanSaturationCount,nominalSuccessRate,nominalMeanTerminalAlignment,relativeDegradationSuccess,relativeDegradationTerminalAlignment,lowNominalConfidence,failureSuccess,failureFalseBasinCapture,failureDecoyCapture,failureOOBSaturation,failureWandering,failureOscillation,failureUnclassified
Phase6-scale2-lambda-0.91-scale-2.0,nominal,nominal,nominal,nominal,64,36,0.5625,0.97013163,0.3141084,0.94314902,137.09375,61.0625,,,,,,36,3,0,0,0,25,0
Phase6-scale2-lambda-0.91-scale-2.0,geometric-light,geometric,light,probed,64,38,0.59375,0.96781477,0.29417313,0.94394675,133.546875,62.34375,0.5625,0.97013163,-0.05555556,0.0023882,false,38,5,0,0,0,21,0
Phase6-scale2-lambda-0.91-scale-2.0,geometric-medium,geometric,medium,probed,64,37,0.578125,0.96182225,0.27945584,0.95499615,136.1875,54.234375,0.5625,0.97013163,-0.02777778,0.00856521,false,37,4,0,0,0,23,0
Phase6-scale2-lambda-0.91-scale-2.0,geometric-heavy,geometric,heavy,probed,64,35,0.546875,0.98143251,0.35633176,0.95910125,135.515625,59.578125,0.5625,0.97013163,0.02777778,-0.0116488,false,35,2,0,0,0,27,0
Phase6-scale2-lambda-0.91-scale-2.0,decoy-light,decoy,light,probed,64,21,0.328125,0.92905072,0.21198084,0.91981365,165.203125,58,0.5625,0.97013163,0.41666667,0.04234571,false,21,2,0,0,0,41,0
Phase6-scale2-lambda-0.91-scale-2.0,decoy-medium,decoy,medium,probed,64,18,0.28125,0.79941162,0.15176194,0.89820207,173.671875,49.359375,0.5625,0.97013163,0.5,0.17597613,false,18,1,0,0,3,34,8
Phase6-scale2-lambda-0.91-scale-2.0,decoy-heavy,decoy,heavy,probed,64,1,0.015625,0.4953873,0.00840656,0.87502536,198.453125,40.734375,0.5625,0.97013163,0.97222222,0.48936074,false,1,1,0,0,8,27,27
Phase6-scale2-lambda-0.91-scale-2.0,sensor-noise-light,sensor-noise,light,probed,64,41,0.640625,0.97125066,0.31897825,0.59884334,155.875,84.234375,0.5625,0.97013163,-0.13888889,-0.00115348,false,41,4,0,0,0,19,0
Phase6-scale2-lambda-0.91-scale-2.0,sensor-noise-medium,sensor-noise,medium,probed,64,5,0.078125,0.51999445,0.05212583,0.23116789,197,190.96875,0.5625,0.97013163,0.86111111,0.46399599,false,5,0,0,0,1,24,34
Phase6-scale2-lambda-0.91-scale-2.0,sensor-noise-heavy,sensor-noise,heavy,probed,64,0,0,0.21731278,0.00726563,0.08523093,200,199.40625,0.5625,0.97013163,1,0.7759966,false,0,1,0,0,22,12,29
Phase6-scale2-lambda-0.91-scale-2.0,sensor-delay-light,sensor-delay,light,probed,64,36,0.5625,0.97012704,0.31045791,0.94071622,136.78125,61.546875,0.5625,0.97013163,0,0.00000474,false,36,3,0,0,0,25,0
Phase6-scale2-lambda-0.91-scale-2.0,sensor-delay-medium,sensor-delay,medium,probed,64,36,0.5625,0.96992698,0.30442202,0.93361067,136.59375,62.859375,0.5625,0.97013163,0,0.00021096,false,36,3,0,0,0,25,0
Phase6-scale2-lambda-0.91-scale-2.0,sensor-delay-heavy,sensor-delay,heavy,probed,64,37,0.578125,0.96927592,0.29921848,0.906632,135.6875,63.953125,0.5625,0.97013163,-0.02777778,0.00088206,false,37,3,0,0,0,24,0
