bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
18;18;107;116;2;14;2;14;98;0;3;0;34;59;13;16;16;13;6;59;7;10;7;16;0;0;5;6;0;1;1;0,163,163,0,no_op,0.0,True,False
18;18;10;109;3;1;15;13;98;0;3;0;6;53;8;0;0;8;34;53;5;26;5;0;0;0;6;4;0;0;0;1,157,157,0,no_op,0.0,True,False
18;18;96;24;15;13;3;1;98;0;3;0;35;32;2;2;2;2;5;32;11;26;11;0;0;0;1;6;1;0;4;0,157,157,0,no_op,0.0,True,False
18;18;113;108;3;15;1;13;98;0;3;0;36;57;15;14;14;15;4;57;4;11;4;15;0;0;6;5;0;1;0;0,153,153,0,no_op,0.0,True,False
18;18;109;36;13;15;1;3;98;0;3;0;38;36;7;0;0;7;2;36;6;27;6;0;0;0;0;3;1;0;5;2,150,150,0,no_op,0.0,True,False
18;18;30;128;1;4;12;15;98;0;3;0;11;59;1;3;3;1;29;59;12;26;12;1;0;0;4;0;0;1;1;4,150,150,0,no_op,0.0,True,False
18;18;15;34;14;2;14;2;98;0;3;0;11;31;13;16;16;13;29;31;7;10;7;16;0;0;1;0;0;0;3;5,149,149,0,no_op,0.0,True,False
18;18;22;27;15;3;13;1;98;0;3;0;13;30;10;17;17;10;27;30;9;10;9;16;0;0;3;0;0;0;2;5,148,148,0,no_op,0.0,True,False
18;18;17;118;2;2;14;14;98;0;3;0;8;56;5;0;0;5;32;56;8;27;8;0;0;0;6;2;0;0;0;3,146,146,0,no_op,0.0,True,False
18;18;88;19;16;12;4;0;98;0;3;0;33;30;1;4;4;1;7;30;13;25;13;1;0;0;2;6;1;0;3;0,146,146,0,no_op,0.0,True,False
18;18;92;128;1;12;4;15;98;0;3;0;29;62;7;17;17;7;11;62;12;11;12;15;0;0;2;6;0;1;4;0,146,146,0,no_op,0.0,True,False
18;18;85;18;16;11;5;0;98;0;3;0;32;30;0;5;5;0;8;30;14;24;14;2;0;0;3;6;1;0;3;0,144,144,0,no_op,0.0,True,False
18;18;117;48;12;16;0;4;98;0;3;0;40;40;11;0;0;11;0;40;3;25;3;1;0;0;0;1;1;0;4;4,143,143,0,no_op,0.0,True,False
18;18;13;113;3;1;15;13;98;0;3;0;7;54;7;0;0;7;33;54;6;27;6;0;0;0;6;3;0;0;0;2,143,143,0,no_op,0.0,True,False
18;18;34;130;0;4;12;16;98;0;3;0;12;60;1;4;4;1;28;60;13;25;13;1;0;0;4;0;0;1;1;5,143,143,0,no_op,0.0,True,False
18;18;4;98;5;0;16;11;98;0;3;0;5;49;12;0;0;12;35;49;2;24;2;2;0;0;5;5;0;0;1;0,142,142,0,no_op,0.0,True,False
18;18;38;132;0;5;11;16;98;0;3;0;13;61;0;5;5;0;27;61;14;24;14;2;0;0;3;0;0;1;2;5,138,138,0,no_op,0.0,True,False
18;18;40;17;16;5;11;0;98;0;3;0;19;27;4;16;16;4;21;27;14;13;14;13;0;0;6;1;0;0;0;3,138,138,0,no_op,0.0,True,False
18;18;0;77;8;0;16;8;98;0;3;0;4;43;16;4;4;16;36;43;0;19;0;7;0;0;2;6;0;0;3;0,135,135,0,no_op,0.0,True,False
18;18;120;57;10;16;0;6;98;0;3;0;40;43;13;1;1;13;0;43;1;23;1;3;0;0;1;0;1;1;3;5,135,135,0,no_op,0.0,True,False
18;18;74;135;0;10;6;16;98;0;3;0;23;63;2;15;15;2;17;63;15;15;15;11;0;0;0;4;0;1;5;2,135,135,0,no_op,0.0,True,False
18;18;1;88;6;0;16;10;98;0;3;0;4;46;14;2;2;14;36;46;0;22;0;4;0;0;4;6;0;0;2;0,133,133,0,no_op,0.0,True,False
