sample_i,sample_j,signature_distance,high_mode_distance,action_i,action_j,action_agree
2022,2023,0.023349158057479443,0.0036181916017690003,0,0,True
2022,5623,0.03855579464555215,0.008503213230233302,0,0,True
2022,5624,0.041226230752902944,0.008664507509592786,0,0,True
2022,5622,0.047785578300975066,0.009992344510847354,0,0,True
2022,5625,0.0530057789662584,0.010089974900193078,0,0,True
2022,5621,0.06493492027331521,0.01296961784017509,0,0,True
2023,2022,0.023349158057479443,0.0036181916017690003,0,0,True
2023,5624,0.04121973187026945,0.0086453189132941,0,0,True
2023,5625,0.04495736337671625,0.009135786848485358,0,0,True
2023,5623,0.04828366429295429,0.009613307577504391,0,0,True
2023,5626,0.05711338145442968,0.010892194190967742,0,0,True
2023,5622,0.06309007952386916,0.011831053239799797,0,0,True
3394,3395,0.013869953862892657,0.0030488927585346722,0,0,True
3394,3396,0.0265155704903647,0.005666334845423189,0,0,True
3394,3397,0.03797908043035157,0.007855768071121188,0,0,True
3394,3398,0.048359904150716025,0.009661308362652164,0,0,True
3394,3399,0.05775650164574534,0.011164973388712742,0,0,True
3394,3400,0.0662333910048466,0.01244851752110419,0,0,True
3395,3394,0.013869953862892657,0.0030488927585346722,0,0,True
3395,3397,0.02442177710621492,0.004888560096560788,0,0,True
3395,3398,0.03501578923648203,0.006737909096079909,0,0,True
3395,3399,0.044592686067105695,0.008272318291311897,0,0,True
3395,3400,0.05319335188097018,0.009574315685564681,0,0,True
3395,3401,0.060871617033058274,0.010691890912335064,0,0,True
3396,3398,0.022559873784365636,0.004143784767639432,0,0,True
3396,3394,0.0265155704903647,0.005666334845423189,0,0,True
3396,3399,0.032341591044815626,0.005711549804853554,0,0,True
3396,3400,0.041105334204987215,0.007038977591957887,0,0,True
3396,3401,0.04888705949101804,0.008170704074068705,0,0,True
3396,3402,0.05579153206205594,0.009118437381686502,0,0,True
3396,3403,0.061959013585254345,0.009889253945390978,0,0,True
3397,3399,0.02085832402278061,0.003502066333703318,0,0,True
3397,3395,0.02442177710621492,0.004888560096560788,0,0,True
3397,3400,0.029805065086646508,0.0048613253325283335,0,0,True
3397,3401,0.0377281934166503,0.0060130070759699715,0,0,True
3397,3394,0.03797908043035157,0.007855768071121188,0,0,True
3397,3402,0.04472110945506217,0.006965828194592941,0,0,True
3397,3403,0.05094628539764196,0.007734098661216812,0,0,True
3397,3404,0.056560808014895964,0.008349816524419438,0,0,True
3397,3405,0.06164784154796765,0.008853798958977307,0,0,True
3397,3406,0.06618342038710684,0.009277957351324154,0,0,True
3398,3400,0.01917248204009634,0.003007700141013612,0,0,True
3398,3396,0.022559873784365636,0.004143784767639432,0,0,True
3398,3401,0.027265270597472017,0.004182833349200548,0,0,True
3398,3402,0.034391420437051276,0.005145193010289185,0,0,True
3398,3395,0.03501578923648203,0.006737909096079909,0,0,True
3398,3403,0.04069767908654966,0.0059114035309198775,0,0,True
3398,3404,0.046359333945990774,0.006521138109411351,0,0,True
3398,3394,0.048359904150716025,0.009661308362652164,0,0,True
3398,3405,0.05150039515676292,0.00702341800488764,0,0,True
3398,3406,0.05613351888356162,0.007456022908429881,0,0,True
3398,3407,0.06016881955120172,0.007825148846532482,0,0,True
3398,3408,0.06350634018121985,0.00811006344091293,0,0,True
3398,3409,0.066139664197578,0.008297769618089814,0,0,True
3399,3397,0.02085832402278061,0.003502066333703318,0,0,True
3399,3402,0.02475452837451405,0.0035797445232713,0,0,True
3399,3403,0.031187695760879496,0.004353669977597775,0,0,True
3399,3396,0.032341591044815626,0.005711549804853554,0,0,True
3399,3404,0.03691645687226507,0.004961374438706858,0,0,True
3399,3405,0.04208905680803381,0.005455757310295329,0,0,True
3399,3395,0.044592686067105695,0.008272318291311897,0,0,True
3399,3406,0.04676676983266715,0.005883933106345241,0,0,True
3399,3407,0.05089956258541152,0.006259709411489906,0,0,True
3399,3408,0.05439646715438094,0.006561479388105054,0,0,True
3399,3409,0.05722904460102266,0.006770012880873906,0,0,True
3399,3394,0.05775650164574534,0.011164973388712742,0,0,True
3399,3410,0.05947989147997902,0.0069047008918340595,0,0,True
3399,3411,0.061317099316893414,0.007027649782644048,0,0,True
3399,3412,0.06292086293881002,0.007216792623272936,0,0,True
3399,3413,0.06440110681611799,0.007519421514181011,0,0,True
3399,3414,0.06577093283176119,0.007920303005432,0,0,True
3400,3398,0.01917248204009634,0.003007700141013612,0,0,True
3400,3403,0.022402446861461343,0.0030032332226204396,0,0,True
3400,3404,0.028245023841499982,0.003621180512816712,0,0,True
3400,3397,0.029805065086646508,0.0048613253325283335,0,0,True
3400,3405,0.03347243344648995,0.004111109114402484,0,0,True
3400,3406,0.038177485378588706,0.0045279041424742235,0,0,True
3400,3396,0.041105334204987215,0.007038977591957887,0,0,True
3400,3407,0.042360295243348244,0.004898328260006999,0,0,True
3400,3408,0.04596890640649213,0.00520736569573048,0,0,True
3400,3409,0.04898323838605339,0.005434698794914137,0,0,True
3400,3410,0.051463112567593054,0.005595476250206499,0,0,True
3400,3395,0.05319335188097018,0.009574315685564681,0,0,True
3400,3411,0.05354278051487184,0.005747934971169701,0,0,True
3400,3412,0.05538566738760689,0.005969540235033195,0,0,True
3400,3413,0.057116670579668245,0.006310680565851613,0,0,True
3400,3414,0.05878659907529341,0.006758030890417878,0,0,True
3400,3415,0.060417824248467165,0.0072544748286237385,0,0,True
3400,3416,0.06209157720469845,0.007761221837919409,0,0,True
3400,3417,0.06399077310970235,0.008297236018528515,0,0,True
3400,3394,0.0662333910048466,0.01244851752110419,0,0,True
3401,3405,0.02564786147175324,0.0029744632926612196,0,0,True
3401,3398,0.027265270597472017,0.004182833349200548,0,0,True
3401,3406,0.030416007246423307,0.0033876907954318164,0,0,True
3401,3407,0.03463968763229546,0.0037524098355467615,0,0,True
3401,3397,0.0377281934166503,0.0060130070759699715,0,0,True
3401,3408,0.0383166131681283,0.004062438476436237,0,0,True
3401,3409,0.04146904768869277,0.004302791896935383,0,0,True
3401,3410,0.044168649450573076,0.004490995714760972,0,0,True
3401,3411,0.04652962164055781,0.004683484732720589,0,0,True
3401,3412,0.04868426906967678,0.004952461592538657,0,0,True
3401,3396,0.04888705949101804,0.008170704074068705,0,0,True
3401,3413,0.05074134287226337,0.0053426758222672125,0,0,True
3401,3414,0.05276408069769914,0.005837109009744269,0,0,True
3401,3415,0.05480917186320069,0.006377955480206131,0,0,True
3401,3416,0.05699078552803883,0.006927828527527368,0,0,True
3401,3417,0.05949816311614637,0.00750611775343917,0,0,True
3401,3395,0.060871617033058274,0.010691890912335064,0,0,True
3401,3418,0.06254508056738843,0.008172857374116818,0,0,True
3401,3419,0.0662790872868268,0.008978524113790904,0,0,True
3402,3399,0.02475452837451405,0.0035797445232713,0,0,True
3402,3407,0.02773675004359484,0.002843579027977118,0,0,True
3402,3408,0.03147448246987164,0.0031610141037789106,0,0,True
3402,3398,0.034391420437051276,0.005145193010289185,0,0,True
3402,3409,0.034723094283362135,0.0034105287857966273,0,0,True
3402,3410,0.037604143999429566,0.003622168087487538,0,0,True
3402,3411,0.04024762757752481,0.003859922730753323,0,0,True
3402,3412,0.042765751270969654,0.004191465340507964,0,0,True
3402,3397,0.04472110945506217,0.006965828194592941,0,0,True
3402,3413,0.045231640623642384,0.0046469163265955545,0,0,True
3402,3414,0.04768605031964195,0.0051955308960896585,0,0,True
3402,3415,0.050193562042664,0.0057759598689564725,0,0,True
3402,3416,0.05289758157326481,0.00635600964364192,0,0,True
3402,3396,0.05579153206205594,0.009118437381686502,0,0,True
3402,3417,0.05600866256751452,0.006961515738405714,0,0,True
3402,3418,0.059728548643025195,0.007654515055638459,0,0,True
3402,3419,0.06415937019448088,0.008482593744780723,0,0,True
3403,3400,0.022402446861461343,0.0030032332226204396,0,0,True
3403,3409,0.028699563743160527,0.0027674577597886856,0,0,True
3403,3399,0.031187695760879496,0.004353669977597775,0,0,True
3403,3410,0.03172203872514468,0.002995672698361434,0,0,True
3403,3411,0.034612034453302715,0.0032723840007226877,0,0,True
3403,3412,0.03749548177241175,0.003667437547679855,0,0,True
3403,3413,0.040417852364542914,0.0041943084431817716,0,0,True
3403,3398,0.04069767908654966,0.0059114035309198775,0,0,True
3403,3414,0.04337615078097167,0.004802321111324901,0,0,True
3403,3415,0.04640796938822819,0.005421903091074196,0,0,True
3403,3416,0.0496589804011197,0.006024591751785033,0,0,True
3403,3397,0.05094628539764196,0.007734098661216812,0,0,True
3403,3417,0.05335582223111448,0.006644566431311353,0,0,True
3403,3418,0.057703712961183644,0.007350255318496521,0,0,True
3403,3396,0.061959013585254345,0.009889253945390978,0,0,True
3403,3419,0.06278198021756867,0.00819061661817019,0,0,True
3404,3400,0.028245023841499982,0.003621180512816712,0,0,True
3404,3411,0.029503262971184864,0.002847047011552037,0,0,True
