policyLabel,cellId,axis,severity,kind,n,successCount,successRate,meanTerminalAlignment,meanRegimeRetention,meanPathEfficiency,meanSteps,meanSaturationCount,nominalSuccessRate,nominalMeanTerminalAlignment,relativeDegradationSuccess,relativeDegradationTerminalAlignment,lowNominalConfidence,failureSuccess,failureFalseBasinCapture,failureDecoyCapture,failureOOBSaturation,failureWandering,failureOscillation,failureUnclassified
Phase6-scale05-lambda-0.975-scale-0.5,nominal,nominal,nominal,nominal,64,42,0.65625,0.97161905,0.2608362,0.94724832,129.375,61.15625,,,,,,42,5,0,0,0,17,0
Phase6-scale05-lambda-0.975-scale-0.5,geometric-light,geometric,light,probed,64,42,0.65625,0.96958892,0.24689283,0.94681864,130.015625,62.59375,0.65625,0.97161905,0,0.00208943,false,42,7,0,0,0,15,0
Phase6-scale05-lambda-0.975-scale-0.5,geometric-medium,geometric,medium,probed,64,40,0.625,0.96664593,0.25457904,0.95651391,132.359375,57,0.65625,0.97161905,0.04761905,0.00511838,false,40,5,0,0,0,19,0
Phase6-scale05-lambda-0.975-scale-0.5,geometric-heavy,geometric,heavy,probed,64,43,0.671875,0.98212158,0.30095696,0.95772586,125.59375,61.765625,0.65625,0.97161905,-0.02380952,-0.0108093,false,43,3,0,0,0,18,0
Phase6-scale05-lambda-0.975-scale-0.5,decoy-light,decoy,light,probed,64,25,0.390625,0.93829556,0.19339179,0.93048946,159.359375,57.984375,0.65625,0.97161905,0.4047619,0.03429687,false,25,6,0,0,0,33,0
Phase6-scale05-lambda-0.975-scale-0.5,decoy-medium,decoy,medium,probed,64,13,0.203125,0.71358795,0.13559685,0.89999773,178.796875,46.5,0.65625,0.97161905,0.69047619,0.26556818,false,13,2,0,0,3,33,13
Phase6-scale05-lambda-0.975-scale-0.5,decoy-heavy,decoy,heavy,probed,64,0,0,0.48392513,0.01734375,0.89329434,200,40.46875,0.65625,0.97161905,1,0.50193944,false,0,3,0,0,8,27,26
Phase6-scale05-lambda-0.975-scale-0.5,sensor-noise-light,sensor-noise,light,probed,64,46,0.71875,0.9792558,0.30318094,0.63279378,146.171875,79.859375,0.65625,0.97161905,-0.0952381,-0.00785981,false,46,2,0,0,0,16,0
Phase6-scale05-lambda-0.975-scale-0.5,sensor-noise-medium,sensor-noise,medium,probed,64,3,0.046875,0.52094284,0.04798396,0.23077024,197.578125,191.4375,0.65625,0.97161905,0.92857143,0.46384045,false,3,1,0,0,2,25,33
Phase6-scale05-lambda-0.975-scale-0.5,sensor-noise-heavy,sensor-noise,heavy,probed,64,0,0,0.21299277,0.0046875,0.08486378,200,199.359375,0.65625,0.97161905,1,0.78078572,false,0,2,0,0,24,12,26
Phase6-scale05-lambda-0.975-scale-0.5,sensor-delay-light,sensor-delay,light,probed,64,42,0.65625,0.97160179,0.25588515,0.944631,129.09375,61.984375,0.65625,0.97161905,0,0.00001777,false,42,5,0,0,0,17,0
Phase6-scale05-lambda-0.975-scale-0.5,sensor-delay-medium,sensor-delay,medium,probed,64,42,0.65625,0.97136932,0.24998537,0.93683502,128.9375,63.390625,0.65625,0.97161905,0,0.00025703,false,42,5,0,0,0,17,0
Phase6-scale05-lambda-0.975-scale-0.5,sensor-delay-heavy,sensor-delay,heavy,probed,64,40,0.625,0.9701589,0.25856909,0.90914311,133.015625,64.296875,0.65625,0.97161905,0.04761905,0.0015028,false,40,5,0,0,0,19,0
