policyLabel,cellId,axis,severity,kind,n,successCount,successRate,meanTerminalAlignment,meanRegimeRetention,meanPathEfficiency,meanSteps,meanSaturationCount,nominalSuccessRate,nominalMeanTerminalAlignment,relativeDegradationSuccess,relativeDegradationTerminalAlignment,lowNominalConfidence,failureSuccess,failureFalseBasinCapture,failureDecoyCapture,failureOOBSaturation,failureWandering,failureOscillation,failureUnclassified
Phase6-scale05-lambda-0.97-scale-0.5,nominal,nominal,nominal,nominal,64,25,0.390625,0.90480227,0.22694412,0.91400581,161.34375,60.453125,,,,,,25,9,0,0,0,28,2
Phase6-scale05-lambda-0.97-scale-0.5,geometric-light,geometric,light,probed,64,24,0.375,0.89957562,0.20456027,0.91493296,162.6875,61.46875,0.390625,0.90480227,0.04,0.00577657,false,24,10,0,0,0,28,2
Phase6-scale05-lambda-0.97-scale-0.5,geometric-medium,geometric,medium,probed,64,29,0.453125,0.88545614,0.16983093,0.92380152,151,57.328125,0.390625,0.90480227,-0.16,0.02138161,false,29,11,0,0,0,22,2
Phase6-scale05-lambda-0.97-scale-0.5,geometric-heavy,geometric,heavy,probed,64,28,0.4375,0.90078013,0.26227811,0.94092582,149.953125,62.859375,0.390625,0.90480227,-0.12,0.00444532,false,28,13,0,0,0,23,0
Phase6-scale05-lambda-0.97-scale-0.5,decoy-light,decoy,light,probed,64,13,0.203125,0.87867387,0.17100652,0.90710651,182.3125,56.859375,0.390625,0.90480227,0.48,0.02887747,false,13,9,0,0,0,41,1
Phase6-scale05-lambda-0.97-scale-0.5,decoy-medium,decoy,medium,probed,64,8,0.125,0.6634749,0.08485777,0.88436433,187.921875,48.4375,0.390625,0.90480227,0.68,0.26671835,false,8,8,0,0,4,28,16
Phase6-scale05-lambda-0.97-scale-0.5,decoy-heavy,decoy,heavy,probed,64,1,0.015625,0.4877039,0.01152611,0.87449191,198.015625,46.609375,0.390625,0.90480227,0.96,0.46098289,false,1,7,0,0,6,25,25
Phase6-scale05-lambda-0.97-scale-0.5,sensor-noise-light,sensor-noise,light,probed,64,25,0.390625,0.90281592,0.23081887,0.55992955,170.890625,87,0.390625,0.90480227,0,0.00219534,false,25,9,0,0,0,28,2
Phase6-scale05-lambda-0.97-scale-0.5,sensor-noise-medium,sensor-noise,medium,probed,64,2,0.03125,0.48183881,0.03245064,0.23529525,196.65625,190,0.390625,0.90480227,0.92,0.46746508,false,2,4,0,0,3,21,34
Phase6-scale05-lambda-0.97-scale-0.5,sensor-noise-heavy,sensor-noise,heavy,probed,64,0,0,0.2089726,0.0059375,0.08698598,200,199.3125,0.390625,0.90480227,1,0.76904059,false,0,4,0,0,20,9,31
Phase6-scale05-lambda-0.97-scale-0.5,sensor-delay-light,sensor-delay,light,probed,64,25,0.390625,0.90478736,0.22178043,0.91122483,161.015625,60.890625,0.390625,0.90480227,0,0.00001648,false,25,9,0,0,0,28,2
Phase6-scale05-lambda-0.97-scale-0.5,sensor-delay-medium,sensor-delay,medium,probed,64,24,0.375,0.90465018,0.22029007,0.90233309,162.9375,62.046875,0.390625,0.90480227,0.04,0.0001681,false,24,9,0,0,0,29,2
Phase6-scale05-lambda-0.97-scale-0.5,sensor-delay-heavy,sensor-delay,heavy,probed,64,25,0.390625,0.90467027,0.20946336,0.87772606,160.90625,63.21875,0.390625,0.90480227,0,0.00014589,false,25,9,0,0,0,28,2
