config_idx,abs_mean_P,mean_abs_P,chi_P,mean_P,half_A_sample_count,half_B_sample_count
0,0.552159364904,0.583377715768,0.094190908863,-0.552159364904,72,72
1,0.425466240929,0.520796028946,0.159111275515,-0.425466240929,72,72
2,0.463745316265,0.503613747477,0.10515780953,0.463745316265,72,72
3,0.085925756923,0.381375143083,0.207036664985,-0.085925756923,72,72
4,0.493213138669,0.520334529426,0.105761591239,-0.493213138669,72,72
5,0.325843484005,0.450052461971,0.17024296232,0.325843484005,72,72
6,0.483707536661,0.545356711037,0.144282840004,0.483707536661,72,72
7,0.165190171664,0.418466346454,0.212384093762,0.165190171664,72,72
8,0.540392427157,0.56466788179,0.092534030727,-0.540392427157,72,72
9,0.547506890748,0.560038442581,0.071890939469,-0.547506890748,72,72
10,0.263218069713,0.426730556657,0.180550199581,0.263218069713,72,72
11,0.536599468909,0.553999980135,0.097536978332,-0.536599468909,72,72
12,0.337344895478,0.451048956855,0.160845808281,0.337344895478,72,72
13,0.487072484192,0.556730360355,0.147261698969,0.487072484192,72,72
14,0.198355962261,0.368970852436,0.157087998055,0.198355962261,72,72
15,0.238601506952,0.373817668737,0.132640288813,0.238601506952,72,72
16,0.472291627638,0.536895694347,0.163502970167,0.472291627638,72,72
17,0.405270893347,0.498054930405,0.156800080586,0.405270893347,72,72
18,0.527968265855,0.543114728324,0.097120200747,0.527968265855,72,72
19,0.532818255555,0.564519415325,0.104436955721,0.532818255555,72,72
20,0.501372896578,0.539214579171,0.109735796071,0.501372896578,72,72
21,0.432312922535,0.503464916708,0.146352855319,0.432312922535,72,72
22,0.427248474483,0.507410536364,0.143914068108,0.427248474483,72,72
23,0.314450455072,0.453905754755,0.185248654724,0.314450455072,72,72
24,0.507135030032,0.522263163664,0.086403509817,-0.507135030032,72,72
25,0.351691670093,0.4518284677,0.158741819304,-0.351691670093,72,72
26,0.427211265731,0.485446961583,0.121138547208,-0.427211265731,72,72
27,0.463846247663,0.5266625493,0.134978534671,-0.463846247663,72,72
28,0.500146747992,0.520405492174,0.095584799318,-0.500146747992,72,72
29,0.207726083945,0.413397036943,0.191880777245,0.207726083945,72,72
30,0.27444106331,0.447241513195,0.19084346517,-0.27444106331,72,72
31,0.185151082053,0.395493913524,0.195977957015,-0.185151082053,72,72
