phase,policyLabel,trialId,controllerFamily,sensorTier,cellId,axis,severity,seed,configHash,terminalOutcome,steps,regimeRetention,terminalAlignment,terminalDistance,pathEfficiency,timeToSuccess,saturationCount,failurePattern
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10000,json_policy,local-probe-field,nominal,nominal,nominal,10000,e6df93bc,timeout,200,0.105,0.87341765,0.78040785,0.9846417,200,112,false-basin-capture
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10001,json_policy,local-probe-field,nominal,nominal,nominal,10001,8100e16a,timeout,200,0.73,0.96977007,0.37166283,0.91788694,200,39,oscillation
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10002,json_policy,local-probe-field,nominal,nominal,nominal,10002,9fb326f4,success,105,0.17142857,0.9991204,0.06292811,0.99844841,105,85,success
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10003,json_policy,local-probe-field,nominal,nominal,nominal,10003,aced214e,timeout,200,0.095,0.86139266,0.81940328,0.99032727,200,105,false-basin-capture
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10004,json_policy,local-probe-field,nominal,nominal,nominal,10004,7df6bd04,timeout,200,0.445,0.98756583,0.23728576,0.93717834,200,58,oscillation
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10005,json_policy,local-probe-field,nominal,nominal,nominal,10005,4f437322,timeout,200,0.1,0.85185283,0.84943321,0.96095528,200,36,false-basin-capture
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10006,json_policy,local-probe-field,nominal,nominal,nominal,10006,5016597c,success,84,0.19047619,0.992016,0.18992683,0.9919364,84,73,success
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10007,json_policy,local-probe-field,nominal,nominal,nominal,10007,392b742e,timeout,200,0,0.8885365,0.72925165,0.98354209,200,12,oscillation
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10008,json_policy,local-probe-field,nominal,nominal,nominal,10008,6229811c,success,119,0.1512605,0.99936155,0.05360897,0.82105455,119,73,success
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10009,json_policy,local-probe-field,nominal,nominal,nominal,10009,cbd33eea,success,92,0.19565217,0.99890727,0.07014248,0.96692225,92,76,success
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10010,json_policy,local-probe-field,nominal,nominal,nominal,10010,78984f0e,timeout,200,0.825,0.98604765,0.25145118,0.92606167,200,20,oscillation
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10011,json_policy,local-probe-field,nominal,nominal,nominal,10011,aae4b1d4,timeout,200,0,0.82997269,0.91576807,0.99954319,200,133,false-basin-capture
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10012,json_policy,local-probe-field,nominal,nominal,nominal,10012,f959946e,success,90,0.21111111,0.99931841,0.05539142,0.88570304,90,68,success
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10013,json_policy,local-probe-field,nominal,nominal,nominal,10013,61f596d8,success,114,0.35087719,0.99135823,0.19762838,0.94020723,114,52,success
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10014,json_policy,local-probe-field,nominal,nominal,nominal,10014,6f8e0dee,timeout,200,0,0.78056287,1.05585509,0.90619033,200,11,oscillation
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10015,json_policy,local-probe-field,nominal,nominal,nominal,10015,40890e5c,timeout,200,0.135,0.93369385,0.55563482,0.97506044,200,88,oscillation
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10016,json_policy,local-probe-field,nominal,nominal,nominal,10016,d7c4982e,timeout,200,0,0.9029478,0.67779599,0.98672767,200,56,oscillation
phase3-probe-slate,Phase6-scale2-lambda-0.92-scale-2.0,Phase6-scale2-lambda-0.92-scale-2.0_local-probe-field_nominal_seed_10017,json_policy,local-probe-field,nominal,nominal,nominal,10017,886123a8,success,75,0.24,0.99962093,0.04130532,0.99419998,75,59,success
