policyLabel,cellId,axis,severity,kind,n,successCount,successRate,meanTerminalAlignment,meanRegimeRetention,meanPathEfficiency,meanSteps,meanSaturationCount,nominalSuccessRate,nominalMeanTerminalAlignment,relativeDegradationSuccess,relativeDegradationTerminalAlignment,lowNominalConfidence,failureSuccess,failureFalseBasinCapture,failureDecoyCapture,failureOOBSaturation,failureWandering,failureOscillation,failureUnclassified
Phase6-scale2-lambda-0.92-scale-2.0,nominal,nominal,nominal,nominal,64,27,0.421875,0.94728723,0.25768154,0.94821332,156.484375,58.359375,,,,,,27,8,0,0,0,29,0
Phase6-scale2-lambda-0.92-scale-2.0,geometric-light,geometric,light,probed,64,27,0.421875,0.94509735,0.27264736,0.94966831,156.6875,58.640625,0.421875,0.94728723,0,0.00231173,false,27,7,0,0,0,30,0
Phase6-scale2-lambda-0.92-scale-2.0,geometric-medium,geometric,medium,probed,64,32,0.5,0.94097623,0.18617732,0.95553219,144.359375,52.8125,0.421875,0.94728723,-0.18518519,0.00666218,false,32,6,0,0,0,26,0
Phase6-scale2-lambda-0.92-scale-2.0,geometric-heavy,geometric,heavy,probed,64,31,0.484375,0.95801177,0.2544031,0.95917455,147.9375,57.890625,0.421875,0.94728723,-0.14814815,-0.01132132,false,31,3,0,0,0,30,0
Phase6-scale2-lambda-0.92-scale-2.0,decoy-light,decoy,light,probed,64,13,0.203125,0.90930095,0.20312817,0.93186315,180.59375,56.265625,0.421875,0.94728723,0.51851852,0.04010006,false,13,7,0,0,0,44,0
Phase6-scale2-lambda-0.92-scale-2.0,decoy-medium,decoy,medium,probed,64,7,0.109375,0.69761527,0.12880356,0.91555695,189.3125,48.40625,0.421875,0.94728723,0.74074074,0.26356521,false,7,5,0,0,3,36,13
Phase6-scale2-lambda-0.92-scale-2.0,decoy-heavy,decoy,heavy,probed,64,0,0,0.46170205,0.00453125,0.90308262,200,42.640625,0.421875,0.94728723,1,0.51260607,false,0,6,0,0,8,22,28
Phase6-scale2-lambda-0.92-scale-2.0,sensor-noise-light,sensor-noise,light,probed,64,27,0.421875,0.94444578,0.25749687,0.57100718,168.5,78.453125,0.421875,0.94728723,0,0.00299957,false,27,8,0,0,0,29,0
Phase6-scale2-lambda-0.92-scale-2.0,sensor-noise-medium,sensor-noise,medium,probed,64,4,0.0625,0.48558105,0.03746458,0.21706349,198.34375,191.703125,0.421875,0.94728723,0.85185185,0.48739829,false,4,2,0,0,6,23,29
Phase6-scale2-lambda-0.92-scale-2.0,sensor-noise-heavy,sensor-noise,heavy,probed,64,0,0,0.2085188,0.0053125,0.08395519,200,199.296875,0.421875,0.94728723,1,0.77987796,false,0,1,0,0,25,12,26
Phase6-scale2-lambda-0.92-scale-2.0,sensor-delay-light,sensor-delay,light,probed,64,26,0.40625,0.94713686,0.26188023,0.9455207,158.078125,58.890625,0.421875,0.94728723,0.03703704,0.00015874,false,26,8,0,0,0,30,0
Phase6-scale2-lambda-0.92-scale-2.0,sensor-delay-medium,sensor-delay,medium,probed,64,26,0.40625,0.94708768,0.25548127,0.93638418,157.734375,59.90625,0.421875,0.94728723,0.03703704,0.00021065,false,26,8,0,0,0,30,0
Phase6-scale2-lambda-0.92-scale-2.0,sensor-delay-heavy,sensor-delay,heavy,probed,64,29,0.453125,0.94686158,0.23340848,0.89977929,152.984375,61.484375,0.421875,0.94728723,-0.07407407,0.00044933,false,29,8,0,0,0,27,0
