config_idx,abs_mean_P,mean_abs_P,chi_P,mean_P,half_A_sample_count,half_B_sample_count
0,0.577436970604,0.595365844123,0.092852943065,-0.577436970604,72,72
1,0.354513096529,0.469046359131,0.166626455495,-0.354513096529,72,72
2,0.451763906048,0.506168891777,0.122499957872,0.451763906048,72,72
3,0.36617632541,0.464752899643,0.14623328685,-0.36617632541,72,72
4,0.555012048262,0.575187632111,0.095435557271,-0.555012048262,72,72
5,0.566518307645,0.579806368356,0.081767289683,-0.566518307645,72,72
6,0.335005108015,0.421410421546,0.137114907508,-0.335005108015,72,72
7,0.025793186416,0.409912600368,0.237851753896,-0.025793186416,72,72
8,0.208102953674,0.372664080064,0.166351937181,-0.208102953674,72,72
9,0.632072886952,0.641484713616,0.06087285163,-0.632072886952,72,72
10,0.394092016849,0.472187970695,0.153460966898,-0.394092016849,72,72
11,0.252586678429,0.448146121432,0.206539297549,0.252586678429,72,72
12,0.329503788048,0.463330695471,0.180005752349,0.329503788048,72,72
13,0.483805057011,0.540686464122,0.132482736259,0.483805057011,72,72
14,0.414527544169,0.492007640243,0.141701325863,-0.414527544169,72,72
15,0.130937098406,0.433808485063,0.236741300697,-0.130937098406,72,72
16,0.448829004444,0.513951109479,0.132130783295,-0.448829004444,72,72
17,0.38941288953,0.463915784441,0.133889329094,-0.38941288953,72,72
18,0.534611871111,0.578108727233,0.113475201918,0.534611871111,72,72
19,0.461669743648,0.489690155077,0.097489231586,0.461669743648,72,72
20,0.114609557664,0.321445213027,0.142531680009,0.114609557664,72,72
21,0.441676715278,0.515062187354,0.150472473927,0.441676715278,72,72
22,0.512869046792,0.570460076659,0.125708100417,0.512869046792,72,72
23,0.206856119962,0.387161807231,0.173020897429,0.206856119962,72,72
24,0.478532863568,0.537855091825,0.126692625109,0.478532863568,72,72
25,0.320357959126,0.443873564794,0.159650938225,0.320357959126,72,72
26,0.240812987878,0.419997041378,0.189966717842,0.240812987878,72,72
27,0.213077748947,0.422621285564,0.207028454193,-0.213077748947,72,72
28,0.606312858617,0.631217627331,0.097068249556,-0.606312858617,72,72
29,0.521523860071,0.544456937323,0.096464110679,0.521523860071,72,72
30,0.391688742607,0.471638410582,0.13300484759,-0.391688742607,72,72
31,0.57566507689,0.604023877643,0.100723566267,0.57566507689,72,72
