i,dEdt,g,R,rho
0,-0.004847163524500847,0.041860945973781837,-0.046708109498282684,0.5273637530549803
1,-0.005087961132997192,0.04175975691292908,-0.04684771804592627,0.5287106766971962
2,-0.0047430813427339555,0.042823392355761644,-0.0475664736984956,0.5262367981599114
3,-0.0038498379921307335,0.04496648870399508,-0.04881632669612582,0.5205252848067397
4,-0.002568323918660506,0.04789952791793043,-0.050467851836590936,0.5130547541525953
5,-0.0010761031333644117,0.05122571284141359,-0.052301815974778,0.5051971835205058
6,0.0004942047383760251,0.05455689498433224,-0.05406269024595622,0.4977250661686461
7,0.002025909769420055,0.05758009395966789,-0.05555418419024784,0.49104643701913453
8,0.00336009142725021,0.06005064031742848,-0.05669054889017827,0.48560880075808205
9,0.004296063668242429,0.061755335647158176,-0.057459271978915746,0.4819818067861391
10,0.00466385330565728,0.06251344946360142,-0.05784959615794414,0.480625891935629
11,0.004405804516076688,0.062234725575491805,-0.05782892105941512,0.48165221264070884
12,0.0035974367819722117,0.060985392498574424,-0.05738795571660221,0.48480470124308356
13,0.0023926732670251846,0.05899754020640266,-0.056604866939377475,0.48965128267611285
14,0.0009423143481261387,0.05660138663543409,-0.05565907228730795,0.49580299975089787
15,-0.0006471969371972877,0.05411844100845235,-0.05476563794564964,0.5029719539505408
16,-0.0022881010086032855,0.05178195579342662,-0.054070056802029906,0.5108080184424453
17,-0.0038516332636352943,0.049729872222838166,-0.05358150548647346,0.5186408958482418
18,-0.005132548648665594,0.04805926556818078,-0.05319181421684637,0.5253456489528944
19,-0.005872227780706313,0.04688486111666269,-0.052757088897369006,0.5294666442190231
20,-0.005834395697121922,0.04634556772798057,-0.05217996342510249,0.5296085472914467
21,-0.004903395591937754,0.0465479750450458,-0.05145137063698355,0.5250174914832973
22,-0.003163135145300623,0.047487455434605495,-0.05065059057990612,0.5161157434540365
23,-0.000907973043078901,0.049009710346446377,-0.04991768338952528,0.5045890880614029
24,0.0014419356525484789,0.05085243083984067,-0.049410495187292194,0.49280922814800826
25,0.003486946099394997,0.05274860968545222,-0.04926166358605722,0.48290884835631126
