policyLabel,cellId,axis,severity,kind,n,successCount,successRate,meanTerminalAlignment,meanRegimeRetention,meanPathEfficiency,meanSteps,meanSaturationCount,nominalSuccessRate,nominalMeanTerminalAlignment,relativeDegradationSuccess,relativeDegradationTerminalAlignment,lowNominalConfidence,failureSuccess,failureFalseBasinCapture,failureDecoyCapture,failureOOBSaturation,failureWandering,failureOscillation,failureUnclassified
Phase6-scale2-lambda-0.90-scale-2.0,nominal,nominal,nominal,nominal,64,3,0.046875,0.69295231,0.07821091,0.93352351,194.59375,52.8125,,,,,,3,7,0,0,0,31,23
Phase6-scale2-lambda-0.90-scale-2.0,geometric-light,geometric,light,probed,64,3,0.046875,0.70106337,0.10047337,0.93483446,195.03125,54.171875,0.046875,0.69295231,0,-0.01170507,true,3,7,0,0,0,32,22
Phase6-scale2-lambda-0.90-scale-2.0,geometric-medium,geometric,medium,probed,64,6,0.09375,0.64625191,0.07991587,0.94625021,190.40625,48.03125,0.046875,0.69295231,-0.9375,0.06739339,true,6,5,0,0,0,26,27
Phase6-scale2-lambda-0.90-scale-2.0,geometric-heavy,geometric,heavy,probed,64,10,0.15625,0.70452563,0.08139113,0.94478013,188.1875,55.703125,0.046875,0.69295231,-2.1875,-0.01670146,true,10,3,0,0,0,30,21
Phase6-scale2-lambda-0.90-scale-2.0,decoy-light,decoy,light,probed,64,2,0.03125,0.65089822,0.0660842,0.93137005,195.890625,53.734375,0.046875,0.69295231,0.3125,0.06068829,true,2,9,0,0,0,27,26
Phase6-scale2-lambda-0.90-scale-2.0,decoy-medium,decoy,medium,probed,64,3,0.046875,0.58660466,0.03951152,0.91842751,194.34375,52.03125,0.046875,0.69295231,0,0.15347038,true,3,9,0,0,1,20,31
Phase6-scale2-lambda-0.90-scale-2.0,decoy-heavy,decoy,heavy,probed,64,0,0,0.47215991,0.00914063,0.89902256,200,50.234375,0.046875,0.69295231,0.9375,0.31862569,true,0,10,0,0,6,17,31
Phase6-scale2-lambda-0.90-scale-2.0,sensor-noise-light,sensor-noise,light,probed,64,5,0.078125,0.69412642,0.07697031,0.48975821,193,73.875,0.046875,0.69295231,-0.625,-0.00169436,true,5,6,0,0,0,30,23
Phase6-scale2-lambda-0.90-scale-2.0,sensor-noise-medium,sensor-noise,medium,probed,64,1,0.015625,0.49434217,0.03623641,0.27790005,198.3125,185.5,0.046875,0.69295231,0.625,0.28661444,true,1,1,0,0,1,19,42
Phase6-scale2-lambda-0.90-scale-2.0,sensor-noise-heavy,sensor-noise,heavy,probed,64,1,0.015625,0.28594761,0.01763725,0.14132598,199.765625,198.078125,0.046875,0.69295231,0.625,0.5873488,true,1,1,0,0,10,11,41
Phase6-scale2-lambda-0.90-scale-2.0,sensor-delay-light,sensor-delay,light,probed,64,3,0.046875,0.69295714,0.07686484,0.93087326,194.578125,52.828125,0.046875,0.69295231,0,-0.00000696,true,3,7,0,0,0,31,23
Phase6-scale2-lambda-0.90-scale-2.0,sensor-delay-medium,sensor-delay,medium,probed,64,4,0.0625,0.69320474,0.06863012,0.92320692,193.0625,52.671875,0.046875,0.69295231,-0.3125,-0.00036427,true,4,7,0,0,0,30,23
Phase6-scale2-lambda-0.90-scale-2.0,sensor-delay-heavy,sensor-delay,heavy,probed,64,4,0.0625,0.69320121,0.06655928,0.89936083,193.15625,52.46875,0.046875,0.69295231,-0.3125,-0.00035919,true,4,7,0,0,0,30,23
