beta,config_idx,mean_W14,mean_W23,sigma2_W14,sigma2_W23,ratio_W23_W14,gamma_held,sigma2_W33,sample_count,half_A_sample_count,half_B_sample_count
2.0,0,0.061422869861,0.02684904031,0.246043472654,0.250461821049,0.437117972034,4.238407130503,0.25212130696,5184,2592,2592
2.0,1,0.053232301355,-0.00978926487,0.249352316639,0.249052210446,-0.183897081667,3.701298084727,0.252667347527,5184,2592,2592
2.0,2,0.060538396739,0.012482640343,0.24766313395,0.249544125174,0.206193771483,0.720528192372,0.248610332335,5184,2592,2592
2.0,3,0.031918927782,0.015480885378,0.251741579532,0.25214043449,0.485006435173,4.103335935205,0.248641217345,5184,2592,2592
2.0,4,0.038875685744,0.010773370148,0.249053918158,0.252727666335,0.277123604172,0.24774386477,0.254244224027,5184,2592,2592
2.0,5,0.036275420176,-0.003714183995,0.251813809688,0.246445173704,-0.10238844862,0.045649053293,0.246952670164,5184,2592,2592
2.0,6,0.031376467144,0.017934076586,0.252467874365,0.252771526504,0.571577306763,0.299079701569,0.251101803925,5184,2592,2592
2.0,7,0.036845165383,0.006026955893,0.253620756534,0.247461527498,0.163575216198,4.104949425095,0.246441794987,5184,2592,2592
2.0,8,0.042677137423,-0.006896026812,0.252409658957,0.251247051786,-0.161585973855,-0.108368719479,0.255505232871,5184,2592,2592
2.0,9,0.054951759753,0.008089980183,0.249409008709,0.244874942196,0.147219674481,0.137369643801,0.244675580201,5184,2592,2592
2.0,10,0.034872108824,0.012755204765,0.248137283401,0.251270768925,0.365770961234,0.250791627637,0.248384673386,5184,2592,2592
2.0,11,0.04505513795,0.013738454196,0.244722157026,0.251078244086,0.304925360808,4.163688767805,0.249252993118,5184,2592,2592
2.0,12,0.034418688778,0.001616907896,0.244138001411,0.246833724154,0.046977614595,0.335528037555,0.250863968194,5184,2592,2592
2.0,13,0.038672867272,0.018553907444,0.244314444305,0.24602073365,0.479765498461,0.244388911198,0.247127826046,5184,2592,2592
2.0,14,0.042102787167,0.007939745151,0.252226617475,0.245604761446,0.188580036741,0.132272557037,0.254701649616,5184,2592,2592
2.0,15,0.040893253531,0.008599132618,0.256719792398,0.248380645024,0.210282427438,0.626245243485,0.252320404094,5184,2592,2592
2.0,16,0.050058976375,0.002135825654,0.245510180639,0.249493457191,0.042666187135,4.134106088617,0.245351084419,5184,2592,2592
2.0,17,0.057533194035,0.014075988361,0.249871502385,0.249875843499,0.244658559245,4.209362370577,0.25494332856,5184,2592,2592
2.0,18,0.052556766152,0.003181695889,0.248868196031,0.251752612736,0.060538273594,4.153564117869,0.251701550664,5184,2592,2592
2.0,19,0.049769952213,0.008404435925,0.246127130913,0.248763297998,0.168865661927,0.463539078896,0.248527046541,5184,2592,2592
2.0,20,0.047058383847,0.012447059132,0.245957611291,0.248317862514,0.264502477865,0.287947681556,0.264922123949,5184,2592,2592
2.0,21,0.039610462435,0.009031581207,0.24674451003,0.250712148078,0.228009991591,0.322932753808,0.248437678329,5184,2592,2592
2.0,22,0.021109728099,0.008432190556,0.245322446692,0.24838748964,0.399445720778,0.162265435623,0.252566908415,5184,2592,2592
